ลำดับ,ผู้รับผิดชอบ Facility,ชื่อสถานี (ENG),ชื่อสถานี,ที่อยู่,เจ้าของสถานที่,ศูนย์วิศวกรรม,ประเภทสถานี,Long,Lat,ht(m),HRP,ที่ตั้งสถานี,Ant. Type 1,Ant. Type 2,Beam Tilt ,"Main Feeder Loss
(dB)",Ant. Brand, Max ERP (kW)
9.00,สสท,Chaiyaphum,ชัยภูมิ,412 หมู่ที่ 1 ต.บุ่งคล้า อ.เมือง จ.ชัยภูมิ,สสท,ขอนแก่น,M,102.026740,15.729570,120,0,ที่ราบ,Type 0,PHP 32U 4441,1.00,1.20,RFS,  15.00 
9.01,อสมท,Nong Bua Daeng,หนองบัวแดง 1,ภูแลนคา  อ. หนองบัวแดง  จ. ชัยภูมิ,อสมท,ขอนแก่น,A1,101.895300,15.999858,50,345,ภูเขา,Type 4,2A,,0.96,RFS,  0.50 
9.02,อสมท,Nong Bua Daeng 2,หนองบัวแดง 2,ต.หนองบัวแดง อ.หนองบัวแดง จ.ชัยภูมิ ,ทีโอที,ขอนแก่น,A2,101.804348,16.082553,82,270,ที่ราบ,Type 2,6C,,1.65,RFS,  0.50 
9.03,ททบ,Phakdi Chumphon,ภักดีชุมพล,ต.เจาทอง อ.ภักดีชุมพล จ.ชัยภูมิ,เอกชน,ขอนแก่น,A3,101.423038,15.906293,55,30;200,ที่ราบ,Type 5A,Type 5A,0,  1.38 ,RFS,  0.50 
9.04,ททบ,Thep Sathit,เทพสถิต,ต.วะตะแบก อ.เทพสถิตย์ จ.ชัยภูมิ,เอกชน,สุรินทร์,A3,101.437773,15.389768,55,10;190,ที่ราบ,Type 5A,Type 5A,  -   ,  1.10 ,RFS,  0.50 
10.00,สสท,Surin,สุรินทร์,227 หมู่ที่ 1 ต.แกใหญ่ อ.เมือง จ.สุรินทร์,สสท,สุรินทร์,M,103.507680,14.919520,126,ND,ที่ราบ,Type 0,PHP 48 D,0.20,0.90,RFS,  50.00 
10.01,ททบ,Buriram,บุรีรัมย์,218 หมู่ที่ 13  ต.เสม็ด  อ.เมือง  จ.บุรีรัมย์,ททบ,สุรินทร์,A1,103.098123,14.934247,80,255,ภูเขา,Type 3A,Type 3A,  -   ,  1.60 ,RFS,  2.00 
10.02,ททบ,Nang Rong,นางรอง,ต.นางรอง   อ.นางรอง  จ.บุรีรัมย์,ทีโอที,สุรินทร์,A3,102.70518,14.643154,55,240,ที่ราบ,Type 3A,Type 3A,  -   ,  1.10 ,RFS,  2.00 
11.00,อสมท,Sisaket,ศรีสะเกษ,ต.ซำ อ.เมือง จ.ศรีสะเกษ,อสมท,สุรินทร์,M,104.345228,15.042331,120,ND,ที่ราบ,Type 0,,  2.00 ,1.34,Denki Kogyo,  20.00 
11.01,สสท,Kantharalak,กันทรลักษ์,ต.น้ำอ้อม  อ.กันทรลักษ์  จ.ศรีสะเกษ,ทีโอที,อุบลราชธานี,A2,104.651717,14.641479,72,160,ที่ราบ,Type 3A,75010210_Richtanntenne,0.30,1.69,Kathrein,  2.00 
12.00,สสท,Ubon Ratchathani,อุบลราชธานี,122 หมู่ที่ 7 ต.หนองบก อ.เหล่าเสือโก๊ก จ.อุบลราชธานี,สสท,อุบลราชธานี,M,104.923611,15.381667,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,0.90,RFS,  50.00 
12.01,กปส,Amnat Charoen,อำนาจเจริญ,ศูนย์ราชการที่ 1 ถ.ชยางกูร อ.เมือง จ.อำนาจเจริญ,กปส,อุบลราชธานี,A1,104.618922,15.898967,100,350,ที่ราบ,Type 2,JUHD-2/3,0,1.76,Jampro,  0.50 
12.02,อสมท,Buntharik,บุณฑริก,ต.โพนงาม อ.บุณฑริก จ.อุบลราชธานี ,ทีโอที,อุบลราชธานี,A2,105.413027,14.756517,89,300,ที่ราบ,Type 2,6C,0.30,1.21,RFS,  2.00 
12.03,อสมท,Nam Yuen,น้ำยืน,ต.สีวิเชียร ต.น้ำยืน จ.อุบลราชธานี ,ทีโอที,อุบลราชธานี,A2,105.002684,14.490170,114,350,ที่ราบ,Type 2,12C,0.30,1.57,RFS,  5.00 
12.04,อสมท,Pathum Ratchawongsa,ปทุมราชวงศา,หมู่ที่ 7 ต.คำโพน อ.ปทุมราชวงศา จ.อำนาจเจริญ ,ทีโอที,อุบลราชธานี,A3,104.985960,15.941900,55,45,ที่ราบ,Type 3A,4B,0.20,0.79,ELTI,  2.00 
12.05,ททบ,Pho Sai,โพธิ์ไทร,ต.เหล่างาม อ.โพธิ์ไทร จ.อุบลราชธานี,เอกชน,อุบลราชธานี,A3,105.378036,15.784942,55,250,ที่ราบ,Type 2,PHP6C,0,1.59,RFS,  0.50 
13.00,สสท,Mukdahan,มุกดาหาร,212 หมู่ที่ 3 ถ.ชยางกูร ต.บางทรายใหญ่ อ.เมือง จ.มุกดาหาร,สสท,อุบลราชธานี,M,104.718181,16.613679,124,240,ที่ราบ,Type 0, PHP 32 U,1.00,1.20,RFS,  20.00 
13.01,อสมท,Phu Hin Khan,ภูหินขัน,ภูหินขัน 320 หมู่ที่ 1 ต.คำอาฮวน   อ.เมือง จ.มุกดาหาร  ,อสมท,อุบลราชธานี,A1,104.629602,16.468387,80,190,ภูเขา,Type 4,2A,2.00,1.33,RFS,  2.00 
13.02,อสมท,Dong Luang,ดงหลวง,ต.ดงหลวง อ.ดงหลวง จ.มุกดาหาร ,ทีโอที,อุบลราชธานี,A3,104.537077,16.814992,82,ND,ที่ราบ,Type 1,STA,1.00,1.57,RFS,  0.50 
14.00,สสท,Roi ET,ร้อยเอ็ด,59  หมู่ที่ 14 ถ.รัฐกิจไกลคลา ต.รอบเมือง อ.เมือง จ.ร้อยเอ็ด,สสท,สุรินทร์,M,103.624210,15.978350,126,ND,ที่ราบ,Type 0, PHP 36C,0.20,0.90,RFS,  50.00 
14.01,กปส,Yasothon,ยโสธร,10 ถ.เทศบาล 1 ต.ในเมือง อ.เมือง จ.ยโสธร,กปส,สุรินทร์,A1,104.142504,15.803563,100,145,ที่ราบ,Type 3A,,  -   ,  2.12 ,Jampro,  1.00 
15.00,สสท,Khon Kaen,ขอนแก่น,205 หมู่ที่ 8 ต.โคกสี อ.เมือง จ.ขอนแก่น,สสท,ขอนแก่น,M,102.946222,16.463686,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,0.90,RFS,  50.00 
15.01,สสท,Chum Phae,ชุมแพ,115 หมู่ที่ 9 ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น,สสท,ขอนแก่น,A1,102.041455,16.549452,124,ND,ที่ราบ,Type 1,STA,0.50,1.30,Kathrein,  2.00 
15.02,ททบ,Phu Sing,ภูสิงห์,ต.ภูสิงห์ อ.สหัสขันธ์ จ.กาฬสินธุ์,ทีโอที,สุรินทร์,A1,103.518611,16.722778,95,70,ภูเขา,Type 3,Type 3,  1.30 ,  1.70 ,RFS,  1.00 
15.03,อสมท,Phon,พล,อ.พล  จ.ขอนแก่น,ทีโอที,สุรินทร์,A1,102.600232,15.809009,58,175,ที่ราบ,Type 3A,4B,  -   ,0.79,ALDENA,  0.50 
15.04,อสมท,Kaeng Khro,แก้งคร้อ,ภูผาแดง อ.โคกโพธิ์ชัย จ.ขอนแก่น ,ทีโอที,ขอนแก่น,A2,102.295658,16.098189,24,130,ภูเขา,Type 4,2A,,0.61,RFS,  0.50 
15.06,อสมท,Khao Wong,เขาวง,อ.เขาวง จ.กาฬสินธุ์ ,ทีโอที,อุบลราชธานี,A3,104.089500,16.691050,107,ND,ที่ราบ,Type 1,STA,1.00,2.09,RFS,  0.50 
15.08,สสท,Phu Wiang,ภูเวียง,ต.ดินดำ  อ.ภูเวียง  จ.ขอนแก่น,เอกชน,ขอนแก่น,A3,102.432560,16.759680,60,ND,ที่ราบ,Type 1,STA,1.00,1.60,Kathrein,  0.50 
16.00,สสท,Loei,เลย,ภูผาสาด ต.สานตม อ.ภูเรือ จ.เลย,สสท,ขอนแก่น,M,101.444519,17.470655,35,130,ภูเขา,Type 0, PHP32U4441,1.50,0.70,RFS,  20.00 
16.01,กปส,Nong Bua Lam Phu,หนองบัวลำภู,อ.เมือง จ.หนองบัวลำภู,กปส,ขอนแก่น,A1,102.429346,17.228005,100,235,ที่ราบ,Type 3A,,0,  2.02 ,Jampro,  0.20 
16.02,ททบ,Nong Hin,หนองหิน,ต.หนองหิน อ.หนองหิน จ.เลย,เอกชน,ขอนแก่น,A3,101.850967,17.136145,55,ND,ที่ราบ,Type 1,Type 1,  0.50 ,  1.42 ,RFS,  1.00 
16.03,ททบ,Chiang Klom,เชียงกลม,ต.เชียงกลม อ.ปากชม จ.เลย,เอกชน,ขอนแก่น,A3,101.933286,17.839850,55,160;330,ที่ราบ,Type 5A,Type 5A,0,  1.38 ,RFS,  1.00 
17.00,สสท,Udonthani,อุดรธานี,179 หมู่ที่ 13 ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี,สสท,ขอนแก่น,M,102.794088,17.664041,156,ND,ที่ราบ,Type 0, PHP 48 D,0.20,1.00,RFS,  50.00 
17.01,สสท,Nam Som,น้ำโสม,ภูตะแคง อ.น้ำโสม  จ.อุดรธานี,ทีโอที,ขอนแก่น,A2,102.189221,17.798590,70,15;185,ภูเขา,Type 5A,6C,0.30,1.80,Kathrein,  1.00 
18.00,สสท,Buengkan,บึงกาฬ,328 หมู่ที่ 6 ถ.สามยอดเทวกุล อ.เมือง จ.บึงกาฬ,สสท,ขอนแก่น,M,103.553190,18.354690,100,180,ที่ราบ,Type 0, 12C,0.30,1.40,RFS,  10.00 
19.00,สสท,Sakhon Nakhon,สกลนคร,ภูพาน ต.ห้วยยาง อ.เมือง จ.สกลนคร,สสท,อุบลราชธานี,M,103.987520,17.138050,109,340,ภูเขา,Type 0, PHP24U441,0.20,0.80,RFS,  50.00 
19.01,อสมท,Nakhon Phanom,นครพนม,135 หมู่ที่ 10 บ้านหนองบัว ต.หนองญาติ อ.เมือง จ.นครพนม ,อสมท,อุบลราชธานี,A1,104.770131,17.374367,100,90,ที่ราบ,Type 3,6C,0.70,1.33,Kathrein,  0.50 
19.02,อสมท,Ban Phaeng,บ้านแพง,หมู่ที่ 11 ต.บ้านแพง อ.บ้านแพง จ.นครพนม ,เอกชน,อุบลราชธานี,A3,104.227242,17.947719,55,330,ที่ราบ,Type 4,2A,0.30,1.2,ELTI,  0.50 
20.00,สสท,Chiang Mai,เชียงใหม่,ดอยสุเทพ ต.สุเทพ อ.เมือง จ.เชียงใหม่,สสท,เชียงใหม่,M,98.915020,18.808140,78,40;180,ภูเขา,Type 0, PHP 16 B,0.80,0.68,RFS,  50.00 
20.01,สสท,Chai Prakan,ไชยปราการ,ดอยผาหงษ์ ต.ศรีดงเย็น   อ.ไชยปราการ จ.เชียงใหม่ ,ทีโอที,เชียงใหม่,A1,99.144830,19.628480,19,20,ภูเขา,Type 4,2A,0,0.55,Kathrein,  2.00 
20.02,สสท,Chiang Dao,เชียงดาว(เขาห้วยหินฝน),เขาห้วยหินฝน อ.เชียงดาว  จ.เชียงใหม่,ทีโอที,เชียงใหม่,A1,98.951143,19.250543,32,0;180,ภูเขา,Type 5,4B,0.80,0.60,Kathrein,  0.50 
20.03,ททบ,Phrao,พร้าว,ถ.หมายเลข 1150 ต.เวียง อ.พร้าว จ.เชียงใหม่,เอกชน,เชียงใหม่,A2,99.200397,19.346154,55,ND,ที่ราบ,Type 1,STA8-LMP,0.50,1.24,RFS,  2.00 
20.04,ททบ,Li,ลี้ ,ถ.หมายเลข 106 ต.ลี้ อ.ลี้ จ.ลำพูน,เอกชน,เชียงใหม่,A2,98.956332,17.779373,55,155;345,ที่ราบ,Type 5,"PHP8U10,1,10,1",0,1.34,RFS,  2.00 
20.05,สสท,Doi Tao,ดอยเต่า,ต.ท่าเดื่อ  อ.ดอยเต่า  จ.เชียงใหม่,สสท,เชียงใหม่,A2,98.715800,17.935830,60,240,ที่ราบ,Type 3A,8B,0.20,1.50,Kathrein,  5.00 
20.06,ททบ,Wiang Haeng,เวียงแหง,ดอยเลาวู ต.เมืองแหง อ.เวียงแหง จ.เชียงใหม่,ทีโอที,เชียงใหม่,A2,98.724010,19.521280,30,330,ภูเขา,Type 4,PHP 2A,0,1.92,RFS,  2.00 
20.07,อสมท,Mae Chaem,แม่แจ่ม,ต.ช่างเคิ่ง อ.แม่แจ่ม จ.เชียงใหม่ ,ทีโอที,เชียงใหม่,A3,98.364750,18.496925,68,60,ที่ราบ,Type 3A,4B,0.50,2.30,RFS,  0.50 
20.08,ททบ,Samoeng,สะเมิง,ต.สะเมิงใต้ อ.สะเมิง จ.เชียงใหม่,ทีโอที,เชียงใหม่,A3,98.736640,18.850010,70,ND,ภูเขา,Type 1,STA8-MP,0.50,1.92,RFS,  0.50 
20.09,สสท,Mae Ai,แม่อาย,ถ.บ้านสันโค้ง ต.แม่อาย อ.แม่อาย จ.เชียงใหม่,เอกชน,เชียงใหม่,A3,99.342276,20.024309,45,60;260,ที่ราบ,Type 5A, 2B,0.00,0.85,Kathrein,  0.50 
21.00,สสท,Mae Hong Son1,แม่ฮ่องสอน1,ดอยกองมู ต.จองคำ อ.เมือง จ.แม่ฮ่องสอน,สสท,เชียงใหม่,M,97.957950,19.297550,64,ND,ภูเขา,Type 0, PHP 24 D,1.00,0.80,RFS,  1.00 
21.01,กปส,Mae Hong Son2,แม่ฮ่องสอน2,ดอยห้วยนางปุ๊ 41  หมู่ที่ 11 ต.ห้วยโป่ง อ.เมือง จ.แม่ฮ่องสอน ,กปส,เชียงใหม่,A1,98.034777,19.106500,50,90,ภูเขา,Type 3,JUHD-2/2(4),0,1.80,Jampro,  1.00 
21.02,อสมท,Mae Sareang,แม่สะเรียง, 259 หมู่ที่ 3  ต.แม่สะเรียง  อ.แม่สะเรียง จ.แม่ฮ่องสอน ,อสมท,เชียงใหม่,A1,97.944614,18.169806,82,10;170,ภูเขา,Type 5A,12C,0.70,0.47,RFS,  1.00 
21.03,ททบ,Pai,ปาย,222  หมู่ที่ 2  ต.แม่นาเติง  อ.ปาย   จ. แม่ฮ่องสอน ,ททบ,เชียงใหม่,A1,98.421248,19.385555,100,165;335,ที่ราบ,Type 5A,"PHP8U10,1,10,2",0,1.60,RFS,  0.50 
22.00,อสมท,Lampang,ลำปาง,ดอยโตน ต.พระบาท อ.เมือง จ.ลำปาง,อสมท,แพร่,M,99.560597,18.234928,80,220,ภูเขา,Type 0,,,0.93,Kathrein,  50.00 
22.01,สสท,Thoen,เถิน,เขา 716 ถ.เถิน-ลี้ ต.ล้อมแรด อ.เถิน จ.ลำปาง ,ทีโอที,แพร่,A1,99.104840,17.664020,80,135,ภูเขา,Type 3A,8B,0.30,1.90,Kathrein,  5.00 
22.02,อสมท,Wang Nuea,วังเหนือ,หมู่ที่ 6 ต.วังเหนือ อ.วังเหนือ จ.ลำปาง ,อสมท,แพร่,A2,99.612010,19.170480,70,80,ที่ราบ,Type 2,6C,  10.00 ,1.39,RFS,  1.00 
22.04,อสมท,Ngao,งาว,หมู่ที่ 8 ต.บ้านโป่ง อ.งาว จ.ลำปาง ,เอกชน,แพร่,A3,99.954930,18.717860,55,20;200,ที่ราบ,Type 5,8D,  11.00 ,1.2,ELTI,  1.00 
23.00,สสท,Chiang Rai,เชียงราย,ดอยปุย ต.สันทราย อ.เมือง จ.เชียงราย,กปส,เชียงใหม่,M,99.867041,19.813755,70,90,ภูเขา,Type 0,PHP24 C,0.50,0.66,RFS,  50.00 
23.01,ททบ,Phayao1,พะเยา1,104  หมู่ที่ 14  ต.บ้านต๋อม  อ.เมือง  จ.พะเยา  ,ททบ,แพร่,A1,99.880542,19.194063,100,60,ที่ราบ,Type 2,,,,RFS,  0.50 
23.02,อสมท,Phayao2,พะเยา2,ต.แม่กา อ. เมือง จ.พะเยา  ,อสมท,แพร่,A1,99.911417,18.988389,80,0;180,ที่ราบ,Type 5,16D,,1.09,Kathrein,  0.50 
23.03,สสท,Chiang Khong,เชียงของ,70 หมู่ที่ 2  ต.เวียง  อ.เชียงของ จ.เชียงราย ,ทีโอที,เชียงใหม่,A2,100.411051,20.246216,80,200;360,ที่ราบ,Type 5A,4B,0,1.60,Kathrein,  2.00 
23.04,สสท,Wiang Pa Pao,เวียงป่าเป้า,199 หมู่ที่3 ถ.เชียงใหม่-เชียงราย ต.เวียง อ.เวียงป่าเป้า จ.เชียงราย ,ทีโอที,เชียงใหม่,A2,99.508308,19.344348,95,170,ที่ราบ,Type 4,2A,0.80,1.94,Kathrein,  1.00 
23.05,สสท,Mae Suai,แม่สรวย,ดอยม่อนป่าก๋อย อ.แม่สรวย  จ.เชียงราย,ทีโอที,เชียงใหม่,A2,99.466883,19.663794,97,160,ภูเขา,Type 2,6C,0.90,1.98,Kathrein,  1.00 
23.06,ททบ,Mae Fa Luang,แม่ฟ้าหลวง,ต.เทอดไทย อ.แม่ฟ้าหลวง จ.เชียงราย,ทีโอที,เชียงใหม่,A3,99.667220,20.238833,25,ND,ภูเขา,Type 1,STA8-LMP,0.50,0.78,RFS,  0.50 
23.08,ททบ,Wiang Kaen,เวียงแก่น,ต.หล่ายงาว อ.เวียงแก่น จ.เชียงราย,เอกชน,เชียงใหม่,A3,100.501612,20.112444,55,20;200,ที่ราบ,Type 5,"PHP8U10,1,10,1",0,1.32,RFS,  0.20 
23.10,สสท,Phu Sang,ภูซาง,ต.ป่าสัก  อ.ภูซาง  จ.พะเยา,เอกชน,แพร่,A3,100.343944,19.605111,60,ND,ที่ราบ,Type 1,STA,8.00,1.60,Kathrein,  0.50 
23.11,สสท,Pong,ปง,อ.ปง  จ.พะเยา,ทีโอที,แพร่,A3,100.274965,19.153969,42,80,ที่ราบ,Type 2, 6C,9.30,1.50,Kathrein,  1.00 
23.12,สสท,Chiang Muan,เชียงม่วน,อ.เชียงม่วน  จ.พะเยา,ทีโอที,แพร่,A3,100.292070,18.885286,60,0;170,ที่ราบ,Type 5A, 2B,8.00,1.50,Kathrein,  0.50 
24.00,สสท,Nan,น่าน,เขาหินแก้ว ถ.ยันตรกิจโกศล อ.เมือง จ.น่าน,สสท,แพร่,M,100.741150,18.742640,70,10;190,ภูเขา,Type 0,"PHP32U 10,1,10,1",0.50,1.20,RFS,  50.00 
24.01,อสมท,Chiang Klang,ปัว,ดอยหินแก้ว  อ.ปัว  จ.น่าน,ทีโอที,แพร่,A1,100.822040,19.219755,22,90,ภูเขา,Type 3,6C,,0.39,ALDENA,  1.00 
25.00,สสท,Phrae,แพร่,ดอยปกกะโล้ง ต.ไทรย้อย อ.เด่นชัย จ.แพร่,กปส,แพร่,M,100.001030,17.932690,64,110;190,ภูเขา,Type 0,PHP18 U441,0.70,0.90,RFS,  30.00 
25.01,อสมท,Wang Chin,วังชิ้น,หมู่ที่ 4 ต.วังชิ้น อ.วังชิ้น จ.แพร่ ,อสมท,แพร่,A2,99.592570,17.890760,70,55; 235,ที่ราบ,Type 5A,6C,  10.00 ,1.39,RFS,  0.50 
26.00,อสมท,Utaradit,อุตรดิตถ์,ต.คุ้งตะเภา อ.เมือง จ.อุตรดิตถ์,อสมท,แพร่,M,100.125433,17.619686,120,180,ที่ราบ,Type 0,,,1.57,Denki Kogyo,  2.00 
26.01,อสมท,Nam Pat,น้ำปาด,หมู่ที่ 3 บ้านต้นม่วง ต.เด่นเหล็ก อ.น้ำปาด จ.อุตรดิตถ์ ,เอกชน,แพร่,A3,100.784360,17.838960,55,35;215,ที่ราบ,Type 5,8D,  11.00 ,1.2,ELTI,  1.00 
27.00,สสท,Sukhothai,สุโขทัย,94/1 หมู่ที่ 3 ต.ไกรนอก อ.กงไกรลาศ จ.สุโขทัย ,สสท,สุโขทัย,M,100.010563,16.984763,156,ND,ที่ราบ,Type 0,PHP 48D ,0.30,0.90,RFS,  50.00 
